DSM2 Run,Location,Equation,R Squared,Mean Error,NMean Error,NMSE,NRMSE,RMSE,NSE,PBIAS,RSR,Mnly Mean Err,Mnly RMSE,Mnly NMean Err,Mnly NRMSE
FC_2023_01,"Location(name='ANC', bpart='ANC', description='San Joaquin River at Antioch', time_window_exclusion_list='', threshold_value='')",y=0.97x+230.83,0.901933610842165,153.67963139544295,0.0636084142085702,232.4932465333681,0.3102089331859194,749.4730862377406,-0.1074327613617582,6.360841420857027,0.3277107708537505,141.03146701533316,651.0371711873396,0.059041702931421,0.2725515381214641
V8_2_1,"Location(name='ANC', bpart='ANC', description='San Joaquin River at Antioch', time_window_exclusion_list='', threshold_value='')",y=0.86x+144.71,0.9171503416905892,-188.63806872491344,-0.0780778057703933,201.19149455854856,0.2885718326587551,697.1972721830532,-0.0929685148210581,-7.807780577039317,0.3048529156012476,-196.8641045351173,600.3584266996951,-0.0824155929439415,0.2513352844704149
FC_2023_01,"Location(name='BAC', bpart='BAC-OBI', description='Old River at Bacon Island', time_window_exclusion_list='', threshold_value='')",y=0.94x+4.78,0.8174133703570918,-23.52994121275715,-0.0509834725328384,23.84535060919676,0.2273035095917842,104.90533407082349,-0.2111755130825427,-5.0983472532838245,0.4594801173107465,-23.71835819707289,94.26894833930211,-0.0517017563507067,0.2054893579892662
V8_2_1,"Location(name='BAC', bpart='BAC-OBI', description='Old River at Bacon Island', time_window_exclusion_list='', threshold_value='')",y=0.87x+19.85,0.8303120339702061,-39.63743099731142,-0.0858843571367728,22.789520890909163,0.2222142382221491,102.55652866008666,-0.2018241871944855,-8.588435713677299,0.4491924670666049,-39.5697306223852,94.27278377222297,-0.0862548981891224,0.2054977185434296
FC_2023_01,"Location(name='BDL', bpart='BDL', description='Montezuma Slough near Beldon Landing ', time_window_exclusion_list='', threshold_value='')",y=1.06x-936.82,0.9341555748374176,-459.12941371383897,-0.0600543741750331,325.9678011039576,0.2064867154281905,1578.6381241427546,-0.0911858404448534,-6.005437417503309,0.3019169559262881,-494.3580630096999,1413.4036214852194,-0.0646701144159623,0.1848962943193488
V8_2_1,"Location(name='BDL', bpart='BDL', description='Montezuma Slough near Beldon Landing ', time_window_exclusion_list='', threshold_value='')",y=1.05x-712.68,0.9491471645451138,-320.7838170970785,-0.0419586957529371,234.51810609736543,0.1751430682941049,1339.0087794028843,-0.065603802539562,-4.195869575293693,0.256087477207877,-358.7537639085373,1189.7555254200463,-0.0469308557806753,0.1556394680558251
FC_2023_01,"Location(name='BDT', bpart='BDT', description='San Joaquin River at Brandt Bridge ', time_window_exclusion_list='', threshold_value='')",y=0.81x+36.47,0.8760749965436153,-71.43331039908848,-0.1260117671780199,27.883665926063816,0.2217839418170989,125.72445821645172,-0.1904246697761238,-12.601176717801966,0.4363133122456172,-71.92329742406487,115.19566215802324,-0.1270788290487841,0.20353529917057
V8_2_1,"Location(name='BDT', bpart='BDT', description='San Joaquin River at Brandt Bridge ', time_window_exclusion_list='', threshold_value='')",y=0.84x+29.05,0.8767701176720588,-64.02351659454767,-0.1129405374321443,25.55416527155139,0.2123176077661561,120.358200812513,-0.174514908856153,-11.294053743214436,0.4176902887266446,-64.28599746911841,109.5464868605159,-0.1135847434029807,0.1935539633919027
FC_2023_01,"Location(name='BKS', bpart='BKS', description='Barker Slough at North Bay Aqueduct', time_window_exclusion_list='', threshold_value='')",y=0.18x+149.71,0.2231599357604517,-115.3669192789663,-0.3554100025507752,73.87845269061994,0.4770710584877395,154.85838299394257,-1.7615764530027864,-35.541000255077535,1.327003442019676,-121.84594649709472,152.66239900110057,-0.3667471630584966,0.4595023745060972
V8_2_1,"Location(name='BKS', bpart='BKS', description='Barker Slough at North Bay Aqueduct', time_window_exclusion_list='', threshold_value='')",y=0.31x+119.90,0.395256950565311,-104.86552870495524,-0.3230584474080833,60.05501068144722,0.4301290745521615,139.62090505966108,-1.4319530712968145,-32.30584474080839,1.1964313330026182,-109.21336377910455,134.56213774541024,-0.3287240362568582,0.4050219452675231
FC_2023_01,"Location(name='CHDMC006', bpart='DMC', description='Jones Pumping Plant', time_window_exclusion_list='', threshold_value='')",y=0.91x+19.78,0.8592976666187166,-22.86844220623554,-0.0483815107969901,12.795526154161807,0.1645320453401163,77.76920372995565,-0.1572395292567719,-4.838151079699006,0.3964957504135563,-24.00582788866757,63.96404686634055,-0.0510485761456169,0.1360200336427318
V8_2_1,"Location(name='CHDMC006', bpart='DMC', description='Jones Pumping Plant', time_window_exclusion_list='', threshold_value='')",y=0.88x+20.31,0.8708448438735317,-38.29005182178167,-0.0810081657039023,13.612706272129005,0.169704617400137,80.21411839391713,-0.1672832167455382,-8.100816570390206,0.4089608166337357,-39.32063049987608,67.1369409378999,-0.0836156207349198,0.142767217091899
FC_2023_01,"Location(name='CHSWP003', bpart='CLC', description='Banks Pumping Plant /Clifton Court Forebay', time_window_exclusion_list='', threshold_value='')",y=0.94x+13.87,0.8708081321054661,-12.035493480095852,-0.0268537231877445,10.616010087026147,0.1539043745084067,68.97796193860798,-0.1392572235518412,-2.68537231877446,0.3731428535619038,-10.769157866964678,59.94615122591732,-0.0240697866734735,0.1339836493928468
V8_2_1,"Location(name='CHSWP003', bpart='CLC', description='Banks Pumping Plant /Clifton Court Forebay', time_window_exclusion_list='', threshold_value='')",y=0.90x+19.53,0.8757072046843979,-24.210685671162786,-0.0540191436499138,10.843103148358292,0.1555417917690747,69.71183130291126,-0.1422367796155044,-5.401914364991387,0.3771127897711167,-22.727366359229464,60.9492949975886,-0.050797180863569,0.1362257426823341
